Måndag,Tisdag,Onsdag,Torsdag,Fredag
"Datasam o support EE23 (08:10-09:40,9)","Komn�t EE23 (08:10-09:40,4)","Tillprog EE22 (08:10-09:30,11)","Sv1 EE24 (08:10-09:40,1)","Eng6 ES23/TE23 (08:10-09:30,16)"
"Ma2a/2b EE22/ES22/ES23 (08:10-09:30,6)","Eng7 EE22/ES22/TE22 (08:10-09:30,16)","Sv2 EE23/ES23/TE23 (08:10-09:35,1)","El o mikrodattek EE22 (08:10-09:05,4)","Ma1c TE24 (08:10-09:25,6)"
"Eng7 EE22/ES22/TE22 (08:10-09:30,16)","Digiskap1 ES24 (08:10-09:30,13)","Medieprod2 ES22 (08:10-09:30,14)","Eng6 EE23 (08:10-09:30,16)","Ma2c TE24 (08:10-09:25,6)"
"N�tverkstekno EE24 (08:10-09:30,8)","Ma2a/2b EE22/ES22/ES23 (08:10-09:30,6)","Ma1b ES24 (08:10-09:30,6)","Webbutveck2 TE22 (08:10-09:40,11)","Ma2c TE24 (08:10-09:35,6)"
"Digiskap1 ES24 (08:10-09:30,13)","Datortek1a EE24 (08:10-09:40,9)","Eng5 EE24 (08:10-09:30,16)","Digiskap2 ES23 (08:10-09:30,13)","Samh1b ES24/TE24 (08:10-09:35,10)"
"N�tverksadm EE22 (09:35-11:00,8)","N�tverkss�k EE22 (09:35-11:00,8)","Ke1 TE24 (08:10-09:30,4)","Kultur Hi2b ES22 (08:10-09:30,10)","Tillprog EE22 (08:10-11:00,11)"
"Prog1 EE24/TE23 (09:35-11:00,11)","Ma2c TE24 (09:35-10:55,6)","Re1 EE22/TE22 (09:35-11:00,16)","Ma1b ES24 (08:10-09:30,6)","Mentorstid EE23 (08:30-09:30,4)"
"Graf kom1 ES23 (09:35-11:00,13)","Medieprod1 ES24 (09:40-11:00,13)","Ma2c TE24 (09:40-11:00,6)","Ma2c TE24 (08:10-09:35,6)","Mentorstid TE22 (08:35-09:35,1)"
"Kultur Hi2b ES22 (09:40-11:00,10)","Prog2 TE22 (09:40-11:00,11)","Prog1 EE24/TE23 (09:40-11:00,11)","N�tverkss�k EE22 (09:10-11:00,8)","N�tverkstekno EE24 (09:20-11:00,8)"
"Eng5 ES24/TE24 (09:40-11:00,16)","Ma1c TE24 (09:40-11:00,6)","Graf kom1 ES23 (09:40-11:00,13)","Adm servar o n�tverk EE23 (09:35-11:00,4)","Eng6 EE23 (09:40-11:00,16)"
